Id	Text	Constraints	Negative	Constraints extracted	Gold	Predicted	Coincidence	Precision	Recall	F-Score
0	The process starts by reviewing the order.	1	false	[INIT(A=review order)]	2	2	1	0.5	0.5	0.5
1	The staff should check if all the requested items are available.	1	false	[EXISTENCE(A=all the requested items are available )]	2	2	1	0.5	0.5	0.5
2	If something is missing, the staff has to inform customer about a potential delay and order the missing products.	2	false	[RESPONSE(A=something is missing , B=inform customer about potential), PRECEDENCE(A=something is missing , B=miss product)]	9	6	4	0.6666666666666666	0.4444444444444444	0.5333333333333333
3	In the exceptional case of a discontinued item, the customer should be informed about the not longer available items.	1	true	[RESPONSE(A=discontinue item, B=inform customer)]	3	4	1	0.25	0.3333333333333333	0.28571428571428575
4	After waiting an average of x days for the delivery, the staff should check again if all products are on store.	2	false	[PRECEDENCE(A=wait average of x, B=all products are on store ), RESPONSE(A=all products are on store , B=check)]	0	6	0	0.0	NaN	NaN
5	If everything is OK, then the staff recollects all products and prepare a package.	2	false	[PRECEDENCE(A=everything is OK , B=recollect product), PRECEDENCE(A=everything is OK , B=prepare package)]	9	6	6	1.0	0.6666666666666666	0.8
6	The courier is then informed about the pre-processed package.	0			2	0	0	0	0	0
7	The courier company informs the client about a potential delay until there are enough human resources to process the delivery.	1	false	[EXISTENCE(A=inform client about potential)]	3	2	1	0.5	0.3333333333333333	0.4
8	Then, the package is picked up by the designed driver.	1	false	[PRECEDENCE(A=pick package, B=design driver)]	2	3	1	0.3333333333333333	0.5	0.4
9	A centralized service decides the best route to deliver all driver's packages.	1	false	[PRECEDENCE(A=decide good route, B=deliver driver package)]	2	3	1	0.3333333333333333	0.5	0.4
10	Once the driver delivers the package, she should update the system so all stakeholders are notified.	1	false	[RESPONSE(A=deliver package, B=update system)]	3	3	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
				Total	37	37	18	0.486	0.486	0.486
