Id	Text	Constraints	Negative	Constraints extracted	Gold	Predicted	Coincidence	Precision	Recall	F-Score
0	A small company manufactures customized bicycles.	1	false	[EXISTENCE(A=manufacture bicycle)]	0	2	0	0.0	NaN	NaN
1	Whenever the sales department receives an order, a new process instance is created.	1	false	[PRECEDENCE(A=receive order, B=create order)]	2	3	1	0.3333333333333333	0.5	0.4
2	A member of the sales department can then reject or accept the order for a customized bike.	2	false	[PRECEDENCE(A=reject order for bike, B=accept order for bike), PRECEDENCE(A=reject order for bike, B=customize bike)]	3	6	2	0.3333333333333333	0.6666666666666666	0.4444444444444444
3	In the former case, the process instance is finished.	1	false	[END(A=finish process instance)]	2	2	2	1.0	1.0	1.0
4	In the latter case, the storehouse and the engineering department are informed.	1	false	[EXISTENCE(A=inform storehouse)]	2	2	2	1.0	1.0	1.0
5	The storehouse immediately processes the part list of the order and checks the required quantity of each part.	1	false	[EXISTENCE(A=process part list of order)]	2	2	2	1.0	1.0	1.0
6	If the part is available in-house, it is reserved.	1	false	[PRECEDENCE(A=the part is available in-house , B=reserve it)]	3	3	3	1.0	1.0	1.0
7	If it is not available, it is back-ordered.	1	true	[PRECEDENCE(A=it is not available , B=back_order it)]	4	4	4	1.0	1.0	1.0
8	This procedure is repeated for each item on the part list.	1	false	[EXISTENCE(A=repeat procedure)]	0	2	0	0.0	NaN	NaN
9	In the meantime, the engineering department prepares everything for the assembling of the ordered bicycle.	1	false	[EXISTENCE(A=prepare everything for)]	2	2	2	1.0	1.0	1.0
10	If the storehouse has successfully reserved or back-ordered every item of the part list and the preparation activity has finished, the engineering department assembles the bicycle.	1	false	[PRECEDENCE(A=the storehouse has successfully reserved or back-ordered , B=assemble bicycle)]	3	3	3	1.0	1.0	1.0
11	Afterwards, the sales department ships the bicycle to the customer and finishes the process instance.	1	false	[END(A=finish process instance)]	3	2	0	0.0	0.0	NaN
				Total	26	33	21	0.636	0.808	0.712
